"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
teila_6_6,datenerhebungsbogen,,text,"Sonstige ICD-Codierung (in Bezug auf Post-COVID)",,,number,0,500,,,,,,,,
teila_7,datenerhebungsbogen,,yesno,"<div class=""rich-text-field-label""><p>7.1 Wurden Patient*innen mit Post-Covid im <span style=""text-decoration: underline; background-color: #bfedd2;"">1. Quartal 2024</span> von Ihnen immer mit ICD U09.9 bzw. ICD U10.9 bzw. ICD G93.3 codiert?</p> <p> </p></div>",,,,,,,,,LV,,,,
teila_7_code,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>7.2 Wenn nein, welche Codierung(en) wurden (auch) verwendet: </p></div>",,,,,,,"[teila_7] = '0'",,LV,,,,
teila_8_1,datenerhebungsbogen,"8. Inwieweit stimmen Sie den folgenden Aussagen zu:",radio,"Die vorhandenen Impfungen stellen einen  wirksamen Schutz vor COVID-19 dar.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.1,teila_8,,
teila_8_2,datenerhebungsbogen,,radio,"Ich fühle mich kompetent in der Diagnostik von  Patient*innen mit Post-COVID19-Zustand.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.2,teila_8,,
teila_8_3,datenerhebungsbogen,,radio,"Ich fühle mich kompetent in der Therapie von  Patient*innen mit Post-COVID19-Zustand.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.3,teila_8,,
teila_9,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>9.1 Gibt es Ihrer Meinung nach Patientengruppen, die anfälliger für Post-COVID sind?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_9_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>9.2 Wenn ja, welche Patientengruppen? </p></div>",,,,,,,"[teila_9] = '1'",,LV,,,,
teila_10,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>10.1 Stellt Post-COVID Ihrer Meinung nach eine eigene Krankheitsentität dar?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_10_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>10.2 Wenn nein, welchen anderen Krankheiten lassen sich die Symptome zuordnen?</p></div>",,,,,,,"[teila_10] = '0'",,LV,,,,
teila_10_pat_2,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>10.2 Wenn Sie unsicher sind, welchen anderen Krankheiten lassen sich die Symptome zuordnen?</p></div>",,,,,,,"[teila_10] = '2'",,LV,,,,
teila_11,datenerhebungsbogen,,checkbox,"11. Was sind die Beratungsanlässe von Patient*innen mit Post-COVID in Ihrer Praxis? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_11_sonst}",,,,,,,,LV,,,,
teila_11_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_11(12)] = '1'",,LV,,,,
teila_12,datenerhebungsbogen,"<div class=""rich-text-field-label""><h4>Erhebung von Informationen und Daten zu Post-VAC</h4></div>",radio,"<div class=""rich-text-field-label""><p>12.1 Stellt Post-VAC Ihrer Meinung nach eine eigene Krankheitsentität dar? </p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_12_andere,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p> 12.2 Wenn nein, welchen anderen Krankheiten lassen sich die Symptome zuordnen? </p></div>",,,,,,,"[teila_12] = '0'",,LV,,,,
teila_12_andere_2,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p> 12.2 Wenn Sie unsicher sind, welchen anderen Krankheiten lassen sich die Symptome zuordnen? </p></div>",,,,,,,"[teila_12] = '2'",,LV,,,,
teila_13,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>13.1 Gab es bereits Patient*innen in Ihrer Praxis<span style=""background-color: #ffffff;"">, <span style=""color: #ba372a;"">die von sich aus den Verdacht geäußert haben</span></span>, dass ihre Beschwerden Nebenwirkungen der Covid-19-Impfung waren. (Post-VAC-Syndrom)</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_13_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>13.2 Wenn ja, wie viele ungefähr? </p></div>",,,number,0,,,"[teila_13] = '1'",,LV,,,,
teila_13_anlass,datenerhebungsbogen,,checkbox,"13.3 Wenn ja, mit welchen Beratungsanlässen? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_13_sonst}",,,,,,"[teila_13] = '1'",,LV,,,,
teila_13_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_13_anlass(12)] = '1'",,LV,,,,
teila_14,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>14.1 Gab es bereits Patient*innen in Ihrer Praxis,<span style=""color: #ba372a;""> bei denen Sie den Verdacht</span> auf ein Post-VAC Syndrom (seltene unerwünschte Reaktionen auf Impfung) hatten?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_14_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>14.2 Wenn ja, wie viele ungefähr? </p></div>",,,number,0,,,"[teila_14] = '1'",,LV,,,,
teila_14_anlass,datenerhebungsbogen,,checkbox,"14.3 Wenn ja, mit welchen Beratungsanlässen? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_14_sonst}",,,,,,"[teila_14] = '1'",,LV,,,,
teila_14_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_14_anlass(12)] = '1'",,LV,,,,
teila_15_1,datenerhebungsbogen,"15. Zum Schluss vier Fragen an Sie zur Durchführung dieser Umfrage:",text,"15.1 Wie viele Minuten haben Sie ungefähr für die Bearbeitung der Umfrage benötigt? (Erklärung lesen, Link aufrufen, Raussuchen der Daten, Eingabe der Daten, ...)",,"in Minuten",number,0,120,,,,,,,,
teila_15_2,datenerhebungsbogen,,radio,"15.2 Hat die Bearbeitung dieser Umfrage Ihre beruflichen Abläufe gestört?","0, nein, gar nicht|1, nur minimal|2, ja, ziemlich|3, ja, deutlich",,,,,,,,,,,,
teila_15_3,datenerhebungsbogen,,radio,"15.3 Fanden Sie die Bearbeitung dieser Umfrage interessant?","0, nein, gar nicht|1, ja, etwas|2, ja, ziemlich|3, ja, sehr",,,,,,,,,,,,
teila_15_4,datenerhebungsbogen,,radio,"15.4 Würden Sie an so einer Art von Umfrage (Daten aus Ihrem Praxisverwaltungssystem) wieder teilnehmen?","0, nein, nicht noch einmal|1, nur vielleicht|2, wahrscheinlich schon|3, ja, auf jeden Fall",,,,,,,,,,,,
ende,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: center;"">Vielen Dank für das Ausfüllen des Fragebogens!</h2></div>",,,,,,,,,,,,,
